time,open,high,low,close
2017-08-17,4952000,5055000,4850000,4851000
2017-08-18,4852000,4952000,4677000,4771000
2017-08-19,4774000,4900000,4601000,4809000
2017-08-20,4796000,4849000,4723000,4730000
2017-08-21,4730000,4757000,4510000,4515000
2017-08-22,4515000,4635000,4090000,4598000
2017-08-23,4607000,4796000,4555000,4682000
2017-08-24,4691000,4961000,4658000,4841000
2017-08-25,4845000,4973000,4830000,4910000
2017-08-26,4910000,4919000,4852000,4913000
2017-08-27,4911000,4959000,4880000,4887000
2017-08-28,4887000,4916000,4771000,4910000
2017-08-29,4913000,5139000,4880000,5091000
2017-08-30,5099000,5170000,4975000,5056000
2017-08-31,5052000,5218000,5046000,5184000
2017-09-01,5184000,5356000,5179000,5355000
2017-09-02,5355000,5510000,4860000,5105000
2017-09-03,5092000,5295000,4900000,5141000
2017-09-04,5135000,5144000,4680000,4801000
2017-09-05,4801000,5047000,4250000,4962000
2017-09-06,4963000,5097000,4906000,5068000
2017-09-07,5068000,5140000,4950000,5082000
2017-09-08,5075000,5118000,4700000,4934000
2017-09-09,4934000,4939000,4750000,4870000
2017-09-10,4872000,4872000,4443000,4715000
2017-09-11,4718000,4939000,4680000,4791000
2017-09-12,4788000,4868000,4683000,4707000
2017-09-13,4712000,4722000,4401000,4462000
2017-09-14,4462000,4539000,3420000,3424000
2017-09-15,3424000,4345000,3303000,4167000
2017-09-16,4167000,4322000,3900000,4121000
2017-09-17,4121000,4186000,3920000,4082000
2017-09-18,4076000,4481000,4075000,4459000
2017-09-19,4458000,4498000,4215000,4394000
2017-09-20,4394000,4456000,4340000,4373000
2017-09-21,4373000,4411000,4062000,4096000
2017-09-22,4095000,4255000,4051000,4156000
2017-09-23,4155000,4330000,4101000,4272000
2017-09-24,4273000,4275000,4151000,4153000
2017-09-25,4156000,4334000,4150000,4319000
2017-09-26,4319000,4420000,4306000,4320000
2017-09-27,4323000,4680000,4313000,4654000
2017-09-28,4655000,4791000,4518000,4592000
2017-09-29,4592000,4710000,4478000,4658000
2017-09-30,4656000,4898000,4654000,4891000
2017-10-01,4894000,4979000,4813000,4958000
2017-10-02,4959000,5094000,4956000,5020000
2017-10-03,5025000,5056000,4842000,4977000
2017-10-04,4977000,4988000,4851000,4902000
2017-10-05,4901000,4977000,4811000,4939000
2017-10-06,4939000,5034000,4934000,5001000
2017-10-07,5001000,5049000,4952000,5023000
2017-10-08,5025000,5248000,5017000,5239000
2017-10-09,5238000,5790000,5201000,5496000
2017-10-10,5497000,5655000,5472000,5517000
2017-10-11,5522000,5580000,5480000,5544000
2017-10-12,5540000,6395000,5537000,6395000
2017-10-13,6390000,6982000,6300000,6443000
2017-10-14,6445000,6650000,6340000,6639000
2017-10-15,6639000,6686000,6153000,6436000
2017-10-16,6436000,6484000,6281000,6450000
2017-10-17,6450000,6474000,6300000,6394000
2017-10-18,6396000,6448000,5837000,6378000
2017-10-19,6379000,6531000,6270000,6498000
2017-10-20,6496000,6923000,6400000,6882000
2017-10-21,6882000,7193000,6800000,6905000
2017-10-22,6906000,6988000,6677000,6968000
2017-10-23,6966000,7046000,6704000,6985000
2017-10-24,6985000,7009000,6322000,6387000
2017-10-25,6387000,6646000,6181000,6625000
2017-10-26,6625000,6849000,6540000,6770000
2017-10-27,6770000,6887000,6600000,6661000
2017-10-28,6662000,6775000,6593000,6619000
2017-10-29,6619000,7080000,6612000,6936000
2017-10-30,6938000,6990000,6820000,6943000
2017-10-31,6953000,7433000,6934000,7389000
2017-11-01,7388000,7719000,7241000,7711000
2017-11-02,7704000,8650000,7700000,8195000
2017-11-03,8195000,8440000,8026000,8101000
2017-11-04,8101000,8397000,7600000,8320000
2017-11-05,8319000,8627000,8254000,8427000
2017-11-06,8426000,8446000,8033000,8050000
2017-11-07,8050000,8331000,8050000,8210000
2017-11-08,8210000,8699000,8120000,8325000
2017-11-09,8323000,8327000,8010000,8197000
2017-11-10,8199000,8264000,7225000,7461000
2017-11-11,7465000,7880000,7000000,7173000
2017-11-12,7173000,7455000,6430000,6900000
2017-11-13,6900000,7882000,6870000,7430000
