time,close
2018-03-01,11848200
2018-03-02,11900042
2018-03-03,12358709
2018-03-04,12413170
2018-03-05,12341685
2018-03-06,11380902
2018-03-07,10564060
2018-03-08,9948470
2018-03-09,9833675
2018-03-10,9346862
2018-03-11,10160402
2018-03-12,9715746
2018-03-13,9763050
2018-03-14,8692880
2018-03-15,8776644
2018-03-16,8829940
2018-03-17,8364711
2018-03-18,8755099
2018-03-19,9214900
2018-03-20,9540361
2018-03-21,9453640
2018-03-22,9355310
2018-03-23,9627668
2018-03-24,9247703
2018-03-25,9164702
2018-03-26,8740230
2018-03-27,8352889
2018-03-28,8468787
2018-03-29,7529020
2018-03-30,7257484
2018-03-31,7346269
2018-04-01,7228604
2018-04-02,7451136
2018-04-03,7805091
2018-04-04,7203866
2018-04-05,7183776
2018-04-06,7053585
2018-04-07,7368162
2018-04-08,7498733
2018-04-09,7237162
2018-04-10,7281910
2018-04-11,7412740
2018-04-12,8473649
2018-04-13,8431980
2018-04-14,8562140
2018-04-15,8943192
2018-04-16,8633497
2018-04-17,8405431
2018-04-18,8689942
2018-04-19,8830143
2018-04-20,9484054
2018-04-21,9546514
2018-04-22,9409141
2018-04-23,9639797
2018-04-24,10360729
2018-04-25,9588459
2018-04-26,9988748
2018-04-27,9508221
2018-04-28,9969642
2018-04-29,10045364
2018-04-30,9879362
2018-05-01,9723266
2018-05-02,9973795
2018-05-03,10481250
2018-05-04,10432825
2018-05-05,10593936
2018-05-06,10373777
2018-05-07,10104835
2018-05-08,9913377
2018-05-09,10026870
2018-05-10,9587343
2018-05-11,8962800
2018-05-12,9033158
2018-05-13,9261251
2018-05-14,9258945
2018-05-15,9122036
2018-05-16,8977241
2018-05-17,8693622
2018-05-18,8878395
2018-05-19,8871585
2018-05-20,9187821
2018-05-21,9026595
2018-05-22,8567416
2018-05-23,8087102
2018-05-24,8192373
2018-05-25,8031189
2018-05-26,7898675
2018-05-27,7904092
2018-05-28,7623616
2018-05-29,8050732
2018-05-30,7936533
2018-05-31,8076326
2018-06-01,8058762
2018-06-02,8186292
2018-06-03,8265830
2018-06-04,8003603
2018-06-05,8166375
2018-06-06,8164323
2018-06-07,8225610
2018-06-08,8173698
2018-06-09,8053610
2018-06-10,7272364
2018-06-11,7387400
