time,open,high,low,close
2023-12-07,1316,1327,1312,1314
2023-12-08,1313,1319,1305,1316
2023-12-11,1316,1321,1315,1316
2023-12-12,1316,1319,1310,1311
2023-12-13,1311,1321,1302,1302
2023-12-14,1300,1300,1289,1289
2023-12-15,1289,1304,1288,1300
2023-12-18,1300,1304,1297,1304
2023-12-19,1304,1310,1300,1300
2023-12-20,1300,1304,1298,1303
2023-12-21,1303,1305,1295,1295
2023-12-22,1295,1303,1295,1297
2023-12-25,1297,1298,1296,1296
2023-12-26,1295,1300,1293,1295
2023-12-27,1294,1296,1292,1293
2023-12-28,1293,1294,1286,1289
2023-12-29,1289,1298,1284,1294
2024-01-01,1294,1294,1288,1294
2024-01-02,1293,1314,1292,1312
2024-01-03,1312,1313,1305,1309
2024-01-04,1309,1315,1305,1313
2024-01-05,1313,1322,1307,1314
2024-01-08,1314,1319,1312,1312
2024-01-09,1312,1321,1310,1320
2024-01-10,1320,1323,1317,1319
2024-01-11,1319,1320,1313,1314
2024-01-12,1314,1317,1308,1313
2024-01-15,1313,1322,1313,1320
2024-01-16,1320,1340,1320,1338
2024-01-17,1338,1350,1338,1344
2024-01-18,1344,1346,1336,1338
2024-01-19,1338,1339,1333,1334
2024-01-22,1334,1341,1331,1339
2024-01-23,1339,1341,1332,1338
2024-01-24,1338,1341,1329,1332
2024-01-25,1332,1338,1332,1336
2024-01-26,1336,1339,1333,1337
2024-01-29,1337,1339,1334,1334
2024-01-30,1333,1333,1329,1329
2024-01-31,1329,1336,1328,1334
2024-02-01,1334,1336,1329,1329
2024-02-02,1329,1339,1321,1338
2024-02-05,1338,1339,1331,1333
2024-02-06,1333,1334,1326,1327
2024-02-07,1327,1330,1323,1328
2024-02-08,1328,1333,1326,1332
2024-02-09,1331,1333,1328,1330
2024-02-12,1330,1332,1328,1328
2024-02-13,1329,1343,1327,1341
2024-02-14,1340,1341,1330,1331
2024-02-15,1330,1335,1329,1329
2024-02-16,1329,1337,1329,1331
2024-02-19,1331,1336,1331,1334
2024-02-20,1334,1339,1332,1334
2024-02-21,1334,1337,1332,1333
2024-02-22,1333,1334,1325,1327
2024-02-23,1327,1334,1327,1330
2024-02-26,1330,1333,1330,1332
2024-02-27,1332,1333,1330,1332
2024-02-28,1332,1338,1332,1334
2024-02-29,1334,1336,1331,1335
2024-03-01,1335,1336,1330,1330
2024-03-04,1330,1333,1329,1332
2024-03-05,1331,1337,1331,1335
2024-03-06,1335,1337,1329,1329
2024-03-07,1329,1331,1323,1323
2024-03-08,1323,1327,1315,1317
2024-03-11,1317,1319,1310,1311
2024-03-12,1311,1314,1308,1310
2024-03-13,1313,1316,1310,1312
2024-03-14,1312,1325,1312,1322
2024-03-15,1322,1333,1322,1331
2024-03-18,1331,1337,1330,1336
2024-03-19,1336,1341,1336,1336
2024-03-20,1336,1342,1329,1329
2024-03-21,1329,1335,1322,1333
2024-03-22,1333,1347,1330,1345
2024-03-25,1345,1345,1335,1339
2024-03-26,1338,1345,1335,1341
2024-03-27,1341,1353,1341,1348
2024-03-28,1348,1353,1343,1348
2024-03-29,1348,1350,1344,1345
2024-04-01,1345,1355,1344,1353
2024-04-02,1353,1356,1348,1351
2024-04-03,1350,1353,1343,1343
2024-04-04,1343,1351,1343,1349
2024-04-05,1349,1356,1349,1351
2024-04-08,1351,1357,1351,1352
2024-04-09,1352,1357,1351,1351
2024-04-10,1351,1366,1347,1363
2024-04-11,1363,1371,1362,1366
2024-04-12,1366,1386,1366,1380
2024-04-15,1380,1391,1380,1387
2024-04-16,1387,1400,1387,1389
2024-04-17,1389,1391,1379,1379
2024-04-18,1378,1382,1371,1377
2024-04-19,1377,1393,1374,1374
2024-04-22,1374,1383,1374,1377
2024-04-23,1377,1380,1372,1372
2024-04-24,1372,1378,1368,1375
2024-04-25,1375,1379,1371,1371
2024-04-26,1371,1379,1371,1376
2024-04-29,1376,1384,1373,1374
2024-04-30,1374,1386,1373,1384
2024-05-01,1384,1388,1384,1386
2024-05-02,1381,1382,1364,1364
2024-05-03,1364,1370,1347,1355
2024-05-06,1355,1363,1354,1354
2024-05-07,1353,1361,1353,1357
2024-05-08,1357,1367,1357,1364
2024-05-09,1364,1372,1363,1365
2024-05-10,1365,1371,1364,1370
2024-05-13,1370,1373,1366,1366
2024-05-14,1365,1370,1363,1363
2024-05-15,1362,1366,1352,1352
2024-05-16,1351,1354,1343,1348
2024-05-17,1348,1359,1347,1352
2024-05-20,1352,1362,1352,1360
2024-05-21,1360,1367,1359,1363
2024-05-22,1362,1368,1360,1364
2024-05-23,1364,1368,1360,1366
2024-05-24,1366,1372,1365,1365
2024-05-27,1365,1367,1359,1359
2024-05-28,1359,1364,1356,1361
2024-05-29,1361,1371,1361,1369
2024-05-30,1369,1381,1369,1374
2024-05-31,1373,1387,1373,1382
2024-06-03,1382,1382,1371,1371
2024-06-04,1371,1378,1369,1373
2024-06-05,1373,1376,1368,1369
2024-06-06,1369,1369,1363,1363
2024-06-07,1364,1379,1364,1379
2024-06-10,1379,1381,1374,1374
2024-06-11,1374,1381,1374,1377
2024-06-12,1377,1380,1364,1368
2024-06-13,1368,1378,1366,1375
2024-06-14,1375,1387,1375,1382
2024-06-17,1382,1384,1378,1378
2024-06-18,1378,1382,1378,1379
2024-06-19,1379,1383,1378,1380
2024-06-20,1380,1393,1380,1391
2024-06-21,1390,1393,1386,1387
2024-06-24,1387,1391,1385,1385
2024-06-25,1385,1392,1384,1391
2024-06-26,1391,1395,1388,1391
2024-06-27,1391,1394,1384,1386
2024-06-28,1385,1388,1375,1381
2024-07-01,1381,1385,1378,1381
2024-07-02,1381,1390,1381,1386
2024-07-03,1386,1392,1382,1386
2024-07-04,1386,1387,1379,1380
2024-07-05,1380,1383,1377,1377
2024-07-08,1377,1385,1377,1382
2024-07-09,1382,1386,1381,1383
2024-07-10,1383,1388,1382,1383
2024-07-11,1383,1383,1370,1371
2024-07-12,1371,1380,1370,1374
2024-07-15,1374,1385,1374,1384
2024-07-16,1384,1387,1382,1382
2024-07-17,1382,1384,1376,1379
2024-07-18,1379,1386,1376,1384
2024-07-19,1383,1392,1383,1389
2024-07-22,1389,1390,1387,1387
2024-07-23,1387,1388,1382,1384
2024-07-24,1384,1388,1379,1381
2024-07-25,1381,1388,1379,1382
2024-07-26,1382,1387,1381,1384
2024-07-29,1384,1386,1380,1380
2024-07-30,1379,1386,1379,1383
2024-07-31,1383,1385,1367,1367
2024-08-01,1367,1371,1361,1369
2024-08-02,1368,1377,1357,1357
2024-08-05,1357,1374,1355,1365
2024-08-06,1365,1380,1365,1375
2024-08-07,1375,1379,1373,1374
2024-08-08,1374,1380,1373,1373
2024-08-09,1373,1377,1361,1364
2024-08-12,1364,1373,1364,1369
2024-08-13,1369,1372,1361,1361
2024-08-14,1362,1364,1354,1356
2024-08-15,1356,1366,1355,1364
2024-08-16,1364,1365,1349,1349
2024-08-19,1349,1351,1330,1331
2024-08-20,1331,1336,1325,1328
2024-08-21,1328,1340,1327,1333
2024-08-22,1333,1344,1332,1342
2024-08-23,1342,1343,1323,1323
2024-08-26,1323,1329,1318,1327
2024-08-27,1327,1335,1326,1326
2024-08-28,1326,1340,1326,1334
2024-08-29,1334,1338,1328,1333
2024-08-30,1332,1338,1332,1337
2024-09-02,1337,1341,1336,1336
2024-09-03,1335,1342,1335,1340
