time,open,high,low,close
2016-09-09,1099.4,1105.5,1097.3,1105.5
2016-09-12,1102.15,1112.9,1102.15,1112.9
2016-09-13,1108.2,1127.5,1107.6,1127.5
2016-09-14,1128,1128,1119.3,1128
2016-09-15,1126.1,1133.3,1119.3,1126
2016-09-16,1125,1127,1119.3,1127
2016-09-19,1123.8,1123.9,1116.9,1119
2016-09-20,1120.6,1121,1117,1117
2016-09-21,1115.7,1122.5,1102.15,1102.15
2016-09-22,1101.4,1106,1101.4,1102.15
2016-09-23,1104,1106.5,1101,1104
2016-09-26,1102.15,1109.8,1102.15,1107.8
2016-09-27,1102.15,1112.6,1096.9,1100
2016-09-28,1096.9,1097.3,1094,1096
2016-09-29,1092.3,1102.15,1092.3,1102.15
2016-09-30,1105.6,1105.8,1098.1,1098.25
2016-10-03,1102.15,1102.5,1101.35,1102.5
2016-10-04,1102.15,1108.6,1102.15,1108.5
2016-10-05,1114.5,1115.1,1112.1,1115
2016-10-06,1111.8,1114.5,1109.9,1114.5
2016-10-07,1114.8,1116.9,1111,1111
2016-10-10,1112.9,1114.7,1107.6,1109.85
2016-10-11,1112.1,1122.5,1112.1,1122.5
2016-10-12,1124.7,1127,1121.6,1127
2016-10-13,1127.1,1138.2,1124.7,1131
2016-10-14,1129.9,1136.4,1128.7,1131
2016-10-17,1136.1,1143.4,1136.1,1137.5
2016-10-18,1133.1,1134.7,1124,1124
2016-10-19,1123.5,1125.3,1120,1120
2016-10-20,1119.1,1127.3,1119.1,1126.5
2016-10-21,1129,1137.2,1129,1134.85
2016-10-24,1134.3,1136.9,1130.2,1131.15
2016-10-25,1135.4,1139.2,1133.15,1133.15
2016-10-26,1128.6,1134.9,1128.6,1133.9
2016-10-27,1138.4,1143.3,1137.2,1141.65
2016-10-28,1145.8,1146.3,1143.8,1144.6
2016-10-31,1147.1,1148.6,1140.4,1146
2016-11-01,1143.9,1145,1138.9,1141
2016-11-02,1146.3,1151.9,1143.5,1143.5
2016-11-03,1145.1,1145.2,1136.9,1143.6
2016-11-04,1143.5,1146.2,1141.2,1143.15
2016-11-07,1138.9,1144.5,1138.9,1141.6
2016-11-08,1137.2,1141.5,1127,1127
2016-11-09,1128,1162.2,1127.9,1156.9
2016-11-10,1152.7,1166.7,1146.9,1166.7
2016-11-11,1162.1,1169.1,1160.2,1163.45
2016-11-14,1166.7,1176.2,1166.5,1171.3
2016-11-15,1166.3,1171.7,1163.2,1170
2016-11-16,1167.5,1177.9,1165,1171
2016-11-17,1171.4,1180,1168.8,1174.9
2016-11-18,1180.4,1187,1176.8,1179
2016-11-21,1181.3,1186.6,1176.2,1176.2
2016-11-22,1178.2,1179.6,1171.6,1173.9
2016-11-23,1172.9,1181,1171.1,1181
2016-11-24,1182.9,1184.4,1177.2,1177.9
2016-11-25,1177.4,1182.5,1174.6,1175.5
2016-11-28,1172.1,1174,1166.7,1174
2016-11-29,1169.3,1174.6,1166.5,1170.1
2016-11-30,1167,1178.9,1165.9,1172.1
2016-12-01,1177.5,1177.7,1164.1,1170.7
2016-12-02,1166.3,1174,1164.2,1167
2016-12-05,1173.9,1175.5,1167.5,1174.2
2016-12-06,1166.9,1172.2,1166.9,1171.35
2016-12-07,1171.9,1172,1161.5,1167.2
2016-12-08,1159.9,1163.85,1157.1,1163.5
2016-12-09,1164.3,1173,1164.3,1173
2016-12-12,1173.2,1173.7,1162.9,1166.6
2016-12-13,1165.1,1167.8,1162.6,1163
2016-12-14,1163.6,1175.8,1163.3,1175.5
2016-12-15,1179.65,1179.65,1178.05,1178.05
2016-12-16,1183,1186,1183,1186
2016-12-19,1185.8,1188.4,1183.5,1188.4
2016-12-20,1188.3,1195.6,1188.3,1193.35
2016-12-21,1194.3,1196.1,1192.5,1192.5
2016-12-22,1195.5,1206.5,1194.7,1206.5
2016-12-23,1201.9,1205.1,1199,1199
2016-12-26,1199.2,1201.25,1198.55,1201.25
2016-12-27,1205.3,1208.9,1205.3,1207.4
2016-12-28,1207.1,1210.8,1206.6,1208.8
2016-12-29,1210.3,1210.3,1206.8,1207.65
2016-12-30,1204.3,1207.82,1199,1207.65
2017-01-02,1207.55,1208.45,1207.4,1207.8
2017-01-03,1209.5,1211.5,1201.8,1202.95
2017-01-04,1206.1,1208.8,1201.2,1201.2
2017-01-05,1192.4,1194.6,1183,1186.1
2017-01-06,1187.5,1201,1187,1201
2017-01-09,1203.3,1209.1,1202.8,1204
2017-01-10,1199.6,1203,1194.1,1197
2017-01-11,1198.5,1200.6,1192.6,1200
2017-01-12,1186,1186,1175.6,1175.8
2017-01-13,1178.3,1180.4,1171.9,1174
2017-01-16,1178.5,1185.3,1178.4,1183
2017-01-17,1178.3,1179.4,1162,1162
2017-01-18,1165.7,1173.5,1162,1173.5
2017-01-19,1176.1,1181,1174,1174
2017-01-20,1176,1177.3,1168.9,1174
2017-01-23,1167.7,1169.6,1163.1,1165
2017-01-24,1162.6,1169,1161.9,1169
2017-01-25,1168,1168.2,1164.4,1165
2017-01-26,1157.3,1167.5,1156.4,1167.5
2017-01-27,1178,1178,1177,1177
2017-01-30,1172,1172,1169,1169
2017-01-31,1165.75,1165.75,1150,1150
2017-02-01,1153.85,1158.1,1153.85,1154
2017-02-02,1152,1152,1141,1141
2017-02-03,1142,1148.6,1135.5,1138
2017-02-06,1137.9,1137.9,1134,1134
2017-02-07,1133,1148.5,1133,1142
2017-02-08,1146.3,1149.3,1142.6,1143
2017-02-09,1144,1149,1143.5,1149
2017-02-10,1152.4,1152.4,1144.2,1145
2017-02-13,1152.1,1153.8,1147,1147
2017-02-14,1148.6,1149.7,1137.4,1138
2017-02-15,1141.2,1144.7,1137.3,1142
2017-02-16,1134.9,1142.9,1134,1140
2017-02-17,1142.9,1150,1142.9,1149
2017-02-20,1147.9,1149.2,1139.1,1139.1
2017-02-21,1144.2,1149.4,1143.9,1145.6
2017-02-22,1144.8,1144.8,1138,1138
2017-02-23,1137,1140.3,1129.5,1132
2017-02-24,1131.5,1134.1,1127.8,1131
2017-02-27,1132.9,1135,1130.7,1133.9
2017-02-28,1133.5,1136.5,1125.2,1135.5
2017-03-01,1137.7,1146.3,1136.8,1139.5
2017-03-02,1141.4,1152.1,1140.8,1149.9
2017-03-03,1150,1159.3,1147.7,1153
2017-03-06,1153.6,1158.5,1153.1,1153.5
2017-03-07,1155.1,1157.1,1146.25,1150
2017-03-08,1148.4,1156.3,1143.3,1154.8
2017-03-09,1153.5,1160.7,1152.6,1159
2017-03-10,1159,1160.2,1147.9,1147.9
2017-03-13,1149.2,1151.4,1144,1146
2017-03-14,1147.7,1150.7,1145.5,1148
2017-03-15,1146.2,1149.9,1128.5,1130
2017-03-16,1128.7,1133.6,1126.1,1128.4
2017-03-17,1127.5,1134.2,1127.5,1129.1
2017-03-20,1128.7,1130.3,1112.7,1113.7
2017-03-21,1116.5,1124.2,1115.1,1122.25
2017-03-22,1122.9,1126.5,1117,1117
2017-03-23,1118.7,1123.8,1118,1122.4
2017-03-24,1121.4,1123,1113,1113
2017-03-27,1114.5,1115.2,1109,1109
2017-03-28,1112.8,1113.8,1110.7,1113
2017-03-29,1115,1115.9,1109.5,1109.5
